clan_1_id,clan_2_id,clan_1_points,clan_2_points,clan_winner
clan_7201,clan_25726,0,72,2
clan_5202,clan_16269,0,78,2
clan_26609,clan_2868,0,84,2
clan_5093,clan_37398,0,84,2
clan_19283,clan_42497,0,90,2
clan_31974,clan_43646,0,90,2
clan_13709,clan_8899,0,90,2
clan_6381,clan_14616,0,90,2
clan_15804,clan_32498,0,90,2
clan_33312,clan_45428,0,90,2
clan_25126,clan_33319,0,90,2
clan_15690,clan_37567,0,96,2
clan_4670,clan_39227,0,96,2
clan_13178,clan_32971,0,96,2
clan_37122,clan_42096,0,96,2
clan_3841,clan_44952,0,96,2
clan_32890,clan_47741,0,96,2
clan_7387,clan_31550,0,96,2
clan_9411,clan_32351,0,96,2
clan_9134,clan_37674,0,96,2
clan_7484,clan_5841,0,96,2
clan_16158,clan_20442,0,102,2
clan_10762,clan_43324,0,102,2
clan_20208,clan_44722,0,102,2
clan_3915,clan_42174,0,102,2
clan_31687,clan_46626,0,102,2
clan_15109,clan_27189,0,102,2
clan_17040,clan_39875,0,102,2
clan_2407,clan_10190,0,102,2
clan_16845,clan_33825,0,102,2
clan_9902,clan_40795,0,102,2
clan_15181,clan_39944,0,102,2
clan_24222,clan_48000,0,102,2
clan_20142,clan_27580,0,102,2
clan_3356,clan_4126,0,102,2
clan_27606,clan_47570,0,102,2
clan_18435,clan_36103,0,102,2
clan_5650,clan_46167,0,102,2
clan_2572,clan_42240,0,102,2
clan_20971,clan_6097,0,102,2
clan_21400,clan_34050,0,102,2
clan_26848,clan_33890,0,108,2
clan_9791,clan_48332,0,108,2
clan_5822,clan_30731,0,108,2
clan_38985,clan_2026,0,108,2
clan_48346,clan_47851,0,108,2
clan_40787,clan_45888,0,108,2
clan_7523,clan_26344,0,108,2
clan_5057,clan_35195,0,108,2
clan_5155,clan_2115,0,108,2
clan_639,clan_48523,0,108,2
clan_18335,clan_34228,0,108,2
clan_17147,clan_31968,0,108,2
clan_32521,clan_47281,0,108,2
clan_19739,clan_17609,0,108,2
clan_1813,clan_54,0,108,2
clan_26127,clan_42260,0,108,2
clan_7622,clan_36381,0,108,2
clan_20646,clan_46951,0,138,2
clan_21013,clan_12752,1,72,2
clan_12728,clan_24888,1,92,2
clan_2955,clan_14466,2,78,2
clan_9989,clan_18128,2,84,2
clan_22820,clan_6494,2,84,2
clan_8438,clan_23611,2,84,2
clan_22182,clan_44324,2,86,2
clan_14815,clan_6212,2,88,2
clan_9253,clan_7135,2,92,2
clan_12299,clan_40356,2,96,2
clan_29409,clan_28017,2,96,2
clan_11575,clan_25131,2,96,2
clan_25013,clan_22164,2,96,2
clan_18798,clan_9624,2,98,2
clan_6630,clan_25318,2,98,2
clan_5737,clan_43041,2,102,2
clan_37391,clan_37201,2,102,2
clan_48113,clan_46586,2,102,2
clan_24044,clan_4438,3,57,2
clan_30473,clan_36547,3,74,2
clan_18414,clan_6111,3,74,2
clan_23971,clan_3228,3,76,2
clan_20812,clan_14480,3,78,2
clan_8465,clan_3507,3,78,2
clan_19779,clan_26204,3,80,2
clan_27515,clan_33052,3,80,2
clan_6804,clan_11237,3,84,2
clan_39042,clan_37131,3,84,2
clan_24623,clan_30650,3,84,2
clan_35152,clan_45345,3,86,2
clan_17673,clan_8019,3,86,2
